date,experiment,construct,replicate,firefly,gaussia,gaussia_firefly
2026-03-25,Initial mutant screening,SZ1,1,116572.0,236242.0,2.026576
2026-03-25,Initial mutant screening,SZ1,2,187504.0,508801.0,2.713547
2026-03-25,Initial mutant screening,SZ1-0A,1,139466.0,48526.0,0.347941
2026-03-25,Initial mutant screening,SZ1-0A,2,105549.0,39299.0,0.372329
2026-03-25,Initial mutant screening,SZ1-0C,1,122466.0,8922.0,0.072853
2026-03-25,Initial mutant screening,SZ1-0C,2,90651.0,8024.0,0.088515
2026-03-25,Initial mutant screening,SZ1-0T,1,122456.0,14710.0,0.120125
2026-03-25,Initial mutant screening,SZ1-0T,2,63165.0,8514.0,0.13479
2026-03-25,Initial mutant screening,SZ1-0In,1,108795.0,78047.0,0.717377
2026-03-25,Initial mutant screening,SZ1-0In,2,121741.0,96645.0,0.793857
2026-03-25,Initial mutant screening,SZ1-0Del,1,126574.0,34552.0,0.272979
2026-03-25,Initial mutant screening,SZ1-0Del,2,113541.0,36145.0,0.318343
2026-03-25,Initial mutant screening,SZ1-1A,1,97745.0,9005.0,0.092127
2026-03-25,Initial mutant screening,SZ1-1A,2,120971.0,13143.0,0.108646
2026-03-25,Initial mutant screening,SZ1-1G,1,126763.0,9060.0,0.071472
2026-03-25,Initial mutant screening,SZ1-1G,2,113951.0,9912.0,0.086985
2026-03-25,Initial mutant screening,SZ1-1T,1,139121.0,6807.0,0.048929
2026-03-25,Initial mutant screening,SZ1-1T,2,101534.0,5706.0,0.056198
2026-03-25,Initial mutant screening,SZ1-1In,1,173827.0,5452.0,0.031365
2026-03-25,Initial mutant screening,SZ1-1In,2,188461.0,6276.0,0.033301
2026-03-25,Initial mutant screening,SZ1-1Del,1,140984.0,23822.0,0.16897
2026-03-25,Initial mutant screening,SZ1-1Del,2,135685.0,24430.0,0.180049
2026-03-25,Initial mutant screening,SZ1-2A,1,115330.0,28287.0,0.24527
2026-03-25,Initial mutant screening,SZ1-2A,2,183107.0,60514.0,0.330484
2026-03-25,Initial mutant screening,SZ1-2C,1,154125.0,288133.0,1.869476
2026-03-25,Initial mutant screening,SZ1-2C,2,164378.0,543327.0,3.305351
2026-03-25,Initial mutant screening,SZ1-2G,1,128254.0,42309.0,0.329884
2026-03-25,Initial mutant screening,SZ1-2G,2,208957.0,97783.0,0.467958
2026-03-25,Initial mutant screening,SZ1-2In,1,97142.0,12673.0,0.130459
2026-03-25,Initial mutant screening,SZ1-2In,2,190261.0,35510.0,0.186638
2026-03-25,Initial mutant screening,SZ1-2Del,1,106886.0,29393.0,0.274994
2026-03-25,Initial mutant screening,SZ1-2Del,2,168780.0,63755.0,0.37774
2026-03-25,Initial mutant screening,NT,1,152.0,146.0,0.960526
2026-03-25,Initial mutant screening,NT,2,146.0,285.0,1.952055
2026-04-03,SZ1-2C repeat validation,SZ1,1,165954.0,464937.0,2.801602
2026-04-03,SZ1-2C repeat validation,SZ1,2,174347.0,563407.0,3.231527
2026-04-03,SZ1-2C repeat validation,SZ1-2C,1,192477.0,625151.0,3.247926
2026-04-03,SZ1-2C repeat validation,SZ1-2C,2,205921.0,721241.0,3.502513
2026-04-03,SZ1-2C repeat validation,NT,1,195.0,450.0,2.307692
2026-04-03,SZ1-2C repeat validation,NT,2,213.0,495.0,2.323944
