condition,replicate,firefly_raw,gaussia_raw
FHB,1,20688,65823
FHB,2,16260,59245
FHB,3,43057,58511
FHB,4,20327,20133
EVB80,1,133824,80310
EVB80,2,169243,118369
EVB80,3,132,99
EVB80,4,45,51
Echo20,1,55986,89171
Echo20,2,108754,193613
Echo26,1,104534,103760
Echo26,2,198429,213099
Echo33,1,35815,51446
Echo33,2,71648,103817
FMDV (A/O),1,37964,32664
FMDV (A/O),2,97743,95586
CVA3,1,35829,33884
CVA3,2,95266,93283
CVA7,1,49813,37482
CVA7,2,107730,88922
CVA9,1,39217,61520
CVA9,2,46876,80600
CVA12,1,38857,35514
CVA12,2,91986,89477
CVA17,1,23324,28282
CVA17,2,57092,77584
CVA19,1,32771,59757
CVA19,2,41268,77164
