condition,replicate,normalized_value
EVB80,1,425.59
EVB80,2,609.26
EVB80,3,457.24
EVB80,4,619.27
EVB80,5,370.66
EVB80,6,423.96
EVB80,7,825.18
EVB80,8,491.19
Echo20,1,202.79
Echo20,2,220.6
Echo26,1,211.38
Echo26,2,291.04
Echo26,3,230.72
Echo26,4,361.61
Echo26,5,325.65
Echo26,6,391.83
Echo26,7,334.2
Echo26,8,373.87
Echo33,1,246.01
Echo33,2,258.0
FMDV (A/O),1,482.4
FMDV (A/O),2,400.0
FMDV (A/O),3,595.6
FMDV (A/O),4,493.15
FMDV (A/O),5,491.37
FMDV (A/O),6,433.53
CVA3,1,399.07
CVA3,2,386.51
CVA3,3,463.57
CVA3,4,423.85
CVA3,5,429.23
CVA3,6,429.0
CVA7,1,525.02
CVA7,2,452.61
CVA9,1,599.37
CVA9,2,393.91
CVA12,1,472.57
CVA12,2,409.35
CVA12,3,441.34
CVA12,4,456.44
CVA12,5,388.88
CVA12,6,492.79
CVA12,7,418.28
CVA17,1,500.44
CVA19,1,525.97
CVB5,1,318.13
CVB5,2,320.82
