condition,repeat_260702_mean,initial_260626_mean,repeat_minus_initial
FHB,100.0,100.0,0.0
EVB80,512.8645,525.8818,-13.017299999999977
Echo20,205.222,202.0477,3.1743000000000166
Echo26,325.5342,329.2764,-3.7422000000000253
Echo33,286.6807,235.4653,51.21539999999999
FMDV (A/O),370.2406,371.0948,-0.8542000000000485
CVA3,413.4945,353.0626,60.43190000000004
CVA7,457.93,431.506,26.424000000000035
CVA9,212.7104,207.0579,5.652500000000003
CVA12,491.8142,360.4534,131.36080000000004
CVA17,302.9297,265.0641,37.86560000000003
CVA19,189.8128,183.985,5.827799999999996
CVB5,208.7285,296.4776,-87.7491
